Race,Place,Bib Number,Name,School,1k,2k,3k,4k,5k,Finish,Total Time,Pace
Great Lakes Regional,110,344,Maddi Leigh (SO),Oakland (OAKL),3:30,3:43,3:50,3:46,3:56,3:49,22:36.0,6:04
Great Lakes Regional,111,43,Camille Hines (SO),Butler (BUTL),3:24,3:37,3:52,3:50,3:56,3:56,22:37.7,6:04
Great Lakes Regional,112,238,Caitlin McGauley (JR),Marquette (MARQ),3:28,3:44,3:53,3:46,3:51,3:54,22:38.4,6:04
Great Lakes Regional,113,41,Mia Beckham (FR),Butler (BUTL),3:27,3:42,3:55,3:48,3:53,3:50,22:38.6,6:04
Great Lakes Regional,114,109,Allison Triskett (SR),Dayton (DAYT),3:29,3:43,3:53,3:47,3:53,3:52,22:39.2,6:04
Great Lakes Regional,115,256,Emma Mashburn (SR),Miami (Ohio)(MIAO),3:17,3:37,3:56,3:54,3:58,3:54,22:39.3,6:04
Great Lakes Regional,116,506,Victoria Angelopoulos (JR),Wright State (WRST),3:30,3:46,3:54,3:44,3:53,3:51,22:41.3,6:05
Great Lakes Regional,117,560,Shannon Dugan,Wis.-Milwaukee (MILW),3:24,3:42,3:55,3:51,3:56,3:52,22:41.8,6:05
Great Lakes Regional,118,360,Abby Miller (JR),Ohio (OHIO),3:31,3:46,3:52,3:46,3:51,3:55,22:43.5,6:06
Great Lakes Regional,119,252,Emma Bryant (SO),Miami (Ohio)(MIAO),3:24,3:46,3:55,3:49,3:57,3:51,22:44.5,6:06
Great Lakes Regional,120,442,Katherine Germann (JR),Valparaiso (VALP),3:29,3:41,3:54,3:48,3:58,3:51,22:44.8,6:06
Great Lakes Regional,121,375,Devon Leahy (JR),Ohio State (OHST),3:21,3:40,3:58,3:54,3:59,3:50,22:45.3,6:06
Great Lakes Regional,122,524,Amanda Cusimano (SO),Xavier (Ohio)(XAVI),3:25,3:47,3:55,3:48,3:58,3:49,22:45.9,6:06
Great Lakes Regional,123,427,Petronela Simiuc (JR),Toledo (TOLE),3:16,3:44,4:06,3:54,3:54,3:51,22:47.5,6:07
Great Lakes Regional,124,566,Meg Swietlik,Wis.-Milwaukee (MILW),3:24,3:40,3:53,3:51,3:56,4:02,22:48.9,6:07
Great Lakes Regional,125,221,Shelby Pake (JR),Iupui (IUPU),3:27,3:47,3:52,3:51,3:54,3:55,22:50.4,6:07
Great Lakes Regional,126,61,Lauren Beckmann (FR),Central Michigan (CMU),3:25,3:37,3:49,3:44,3:57,4:16,22:51.0,6:08
Great Lakes Regional,127,229,Leah Lisle (FR),Kent State (KENT),3:25,3:40,3:59,3:52,3:56,3:58,22:51.2,6:08
Great Lakes Regional,128,547,Nicole Squatrito (SO),Youngstown St. (YSU),3:30,3:43,3:54,3:49,3:58,3:56,22:51.6,6:08
Great Lakes Regional,129,509,Molly Kearns (JR),Wright State (WRST),3:30,3:46,3:55,3:50,3:54,3:56,22:53.5,6:08
Great Lakes Regional,130,380,Lainey Studebaker (JR),Ohio State (OHST),3:21,3:41,4:05,3:55,3:58,3:52,22:55.8,6:09
Great Lakes Regional,131,60,Natalie Beaulieu (JR),Central Michigan (CMU),3:27,3:42,3:53,3:50,3:58,4:04,22:56.1,6:09
Great Lakes Regional,132,546,Maggie Sebest (FR),Youngstown St. (YSU),3:30,3:44,3:54,3:52,3:56,3:58,22:56.9,6:09
Great Lakes Regional,133,66,Maija Rettelle (FR),Central Michigan (CMU),3:25,3:45,4:01,3:56,4:00,3:48,22:58.2,6:10
Great Lakes Regional,134,562,Hailey Migliano,Wis.-Milwaukee (MILW),3:23,3:44,3:58,3:55,3:58,3:59,22:58.9,6:10
